condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D1,27,pre_impact,velocity,0.15557890092913587,-0.5348780475398943,0.3420676487538475,0.2674525314570478,0.540418211946194,1.0331433268940202,1.1555789009291357,0.4651219524601057,1.3420676487538474
D1,27,pre_impact,smoothness,-0.19208032052624752,-0.49512456082233136,0.47112097476514647,0.379502848198195,0.5111589321987186,0.9090397317557847,0.8079196794737524,0.5048754391776685,1.4711209747651466
D1,27,capture,object,0.34302737150528584,0.3175999255559146,0.4342550247082314,0.4988548143345796,0.5388403136744409,1.3514631420712615,1.3430273715052856,1.3175999255559148,1.4342550247082315
D1,27,capture,grasp,0.2562554540962295,0.21838560704090915,0.3440178096680616,0.31752385172431113,0.396937065269319,1.2622104889195178,1.2562554540962296,1.2183856070409091,1.3440178096680615
D1,27,capture,compression,-0.24904778228369812,-0.3196158538732443,-0.22613950908544986,0.3561939629424891,0.39837634806100997,0.7447554799162988,0.7509522177163019,0.6803841461267557,0.7738604909145501
D1,27,capture,velocity,0.05772576004658655,-0.4312681655129619,0.26010547530887285,0.21507351175478515,0.5306206985339672,0.9903092490559058,1.0577257600465866,0.5687318344870382,1.260105475308873
D1,27,capture,smoothness,-0.1316910950503212,-0.47150565300042996,0.4630830710829332,0.3617584368141507,0.5110853605794423,0.9303726976006594,0.8683089049496788,0.5284943469995701,1.4630830710829332
D1,27,hold,object,0.38849597451180984,0.34525293557954106,0.449843953838099,0.39989181997179496,0.5218349597529917,1.3895957582193168,1.3884959745118097,1.3452529355795413,1.449843953838099
D1,27,hold,grasp,0.29192831029660704,0.25648208556471647,0.3317530690183794,0.2922618397832007,0.3787075080726179,1.2924933967738865,1.2919283102966073,1.2564820855647163,1.3317530690183794
D1,27,hold,compression,-0.2381458131032667,-0.28677826734803713,-0.2169738459198551,0.24086828549539216,0.37298995874858537,0.7583035840097533,0.7618541868967332,0.713221732651963,0.7830261540801449
