condition,seed,episode,term,mean,std,min,max,updates
M0,17,300,total_actor_loss,0.0122225941045,5.33471421375e-07,0.0122211286798,0.012224345468,41
M0,17,300,entropy_bonus,0.0122226656007,4.58847784814e-07,0.0122220029831,0.012223487854,41
M0,17,300,policy_surrogate_loss,-7.14961348512e-08,4.72332413561e-07,-2.34296172857e-06,8.65243375302e-07,41
M0,17,399,total_actor_loss,0.0120567931638,1.73814916627e-06,0.0120518505573,0.012058975175,12
M0,17,399,entropy_bonus,0.0120571981271,1.29162420192e-07,0.0120570049286,0.0120574531555,12
M0,17,399,policy_surrogate_loss,-4.0496326983e-07,1.79829853495e-06,-5.60259819031e-06,1.84817612171e-06,12
M0,27,0,total_actor_loss,0.012520615284,2.14897323064e-06,0.0125185297802,0.0125256851315,41
M0,27,0,entropy_bonus,0.0125206100185,2.16503095239e-06,0.0125185079575,0.0125257177353,41
M0,27,0,policy_surrogate_loss,5.26556154556e-09,1.94479209242e-07,-1.71110033989e-07,1.10495090485e-06,41
M0,27,100,total_actor_loss,0.0123998316809,1.59067588508e-06,0.0123967053369,0.0124029060826,44
M0,27,100,entropy_bonus,0.012399787361,1.56548858013e-06,0.0123968429565,0.0124027786255,44
M0,27,100,policy_surrogate_loss,4.43199480119e-08,2.88048075965e-07,-1.05696171522e-06,5.70781528949e-07,44
M0,27,200,total_actor_loss,0.0120864171047,1.98636793934e-06,0.0120842335746,0.0120909130201,42
M0,27,200,entropy_bonus,0.0120864576839,2.04278840886e-06,0.0120843515396,0.012090763092,42
M0,27,200,policy_surrogate_loss,-4.05792324319e-08,2.28329439399e-07,-1.40029937029e-06,2.16558575629e-07,42
M0,27,300,total_actor_loss,0.0118442428321,5.04156556311e-07,0.0118429427966,0.0118452645838,41
M0,27,300,entropy_bonus,0.0118442472365,4.38861716204e-07,0.011843670845,0.011845085144,41
M0,27,300,policy_surrogate_loss,-4.4043834619e-09,3.90362479034e-07,-2.12327390909e-06,1.18914246559e-06,41
M0,27,399,total_actor_loss,0.0117176559711,1.93433167911e-06,0.0117135681212,0.0117227965966,44
M0,27,399,entropy_bonus,0.0117177960222,1.32852917112e-06,0.0117164726257,0.0117203960419,44
M0,27,399,policy_surrogate_loss,-1.40051103451e-07,9.36041833117e-07,-2.93502211571e-06,2.48924642801e-06,44
